mc_id,medicao_id,frente_id,tipo,descricao,comprimento,ast,resultado
mc_e41f054983,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 88 - 101883.0 - Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 18 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",0.0,661.74,0.0
mc_e0bbb4d55a,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 89 - 101879.0 - Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 24 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",0.0,689.01,0.0
mc_966376b827,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 90 - 101880.0 - Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 30 Disjuntores Din 150A - Fornecimento E Instalação. Af_07/2025",0.0,804.1,0.0
mc_19849b3247,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 91 - 101882.0 - Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 30 Disjuntores Din 225A - Fornecimento E Instalação. Af_07/2025",0.0,1489.7,0.0
mc_d6f8cf6532,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 92 - 101881.0 - Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 40 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",0.0,1093.53,0.0
mc_0577e07e77,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 93 - 101878.0 - Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Sobrepor, Com Barramento Trifásico, Para 18 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",0.0,499.96,0.0
mc_467c67be19,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 94 - 101877.0 - Quadro De Distribuição De Energia Em Pvc, De Embutir, Sem Barramento, Para 3 Disjuntores - Fornecimento E Instalação. Af_07/2025",0.0,134.22,0.0
mc_90bfc1588b,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 95 - 101876.0 - Quadro De Distribuição De Energia Em Pvc, De Embutir, Sem Barramento, Para 6 Disjuntores - Fornecimento E Instalação. Af_07/2025",0.0,187.25,0.0
mc_ff8321c61b,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 96 - 97360.0 - Quadro De Medição Geral De Energia Com 12 Medidores - Fornecimento E Instalação. Af_07/2025,0.0,12500.11,0.0
mc_6ef4c41fb7,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 97 - 97361.0 - Quadro De Medição Geral De Energia Com 16 Medidores - Fornecimento E Instalação. Af_07/2025,0.0,16666.81,0.0
mc_c490272b86,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 98 - 97359.0 - Quadro De Medição Geral De Energia Com 8 Medidores - Fornecimento E Instalação. Af_07/2025,0.0,6477.31,0.0
mc_a83c4a03be,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 99 - 101946.0 - Quadro De Medição Geral De Energia Para 1 Medidor De Sobrepor - Fornecimento E Instalação. Af_07/2025,0.0,195.17,0.0
mc_76c6337a37,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 100 - 97362.0 - Quadro De Medição Geral De Energia Para Barramento Blindado Com 4 Medidores - Fornecimento E Instalação. Af_07/2025,0.0,1869.28,0.0
mc_26e0fdbdef,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 101 - 101560.0 - Cabo De Cobre Flexível Isolado, 10 Mm², 0,6/1,0 Kv, Para Rede Aérea De Distribuição De Energia Elétrica De Baixa Tensão - Fornecimento E Instalação. Af_07/2020",0.0,13.2,0.0
